Contestant,Est_Fan_Share,Fan_Share_Std,Valid_Simulations,Season,Week,Rule_Used
Drew Lachey,0.20469075783090276,0.12875315890833736,2111,2,6,rank
Lisa Rinna,0.14558875219684017,0.035419349909387436,2276,2,7,rank
Stacy Keibler,0.25834797891037475,0.14356034658299532,2276,2,7,rank
Jerry Rice,0.33265377855888195,0.13584916681262252,2276,2,7,rank
Drew Lachey,0.2634094903339256,0.14034971128045273,2276,2,7,rank
Harry Hamlin,0.10606255177257905,0.09126780626307736,2646,3,1,percent
Vivica A. Fox,0.10393542775914456,0.0905256978805548,2646,3,1,percent
Monique Coleman,0.10637258561465443,0.09295975676078716,2646,3,1,percent
Joey Lawrence,0.10519005356135384,0.09354758894006988,2646,3,1,percent
Mario Lopez,0.10689971995060286,0.09240577606056509,2646,3,1,percent
Emmitt Smith,0.10494243611126669,0.0932204848335236,2646,3,1,percent
Shanna Moakler,0.10630648261050564,0.09361018524029467,2646,3,1,percent
Willa Ford,0.10585180044409276,0.09319810658818557,2646,3,1,percent
Jerry Springer,0.10894758180259494,0.09295372378265862,2646,3,1,percent
Tucker Carlson,0.04549136037319944,0.009859557433775151,2646,3,1,percent
Harry Hamlin,0.1282899571437241,0.10031067684576313,670,3,2,percent
Vivica A. Fox,0.11095776552781027,0.0926524816931035,670,3,2,percent
Monique Coleman,0.10975205331178278,0.09458035827476464,670,3,2,percent
Joey Lawrence,0.11151613234151839,0.09783128634929912,670,3,2,percent
Mario Lopez,0.1218558630609049,0.09655433401670634,670,3,2,percent
Emmitt Smith,0.11435779441968136,0.09990207276172869,670,3,2,percent
Shanna Moakler,0.04176131545945425,0.003428062373582551,670,3,2,percent
Willa Ford,0.12255052413622687,0.09750685490111617,670,3,2,percent
Jerry Springer,0.1389585945988947,0.09571694976259752,670,3,2,percent
Harry Hamlin,0.04803487015448568,0.0037103250133911792,654,3,3,percent
Vivica A. Fox,0.12305955064758703,0.10290171220183422,654,3,3,percent
Monique Coleman,0.12103956782012006,0.10175228482818792,654,3,3,percent
Joey Lawrence,0.13854831817676494,0.1017209308640292,654,3,3,percent
Mario Lopez,0.13540448548706688,0.1029240371784822,654,3,3,percent
Emmitt Smith,0.16785012477546488,0.10828337628554136,654,3,3,percent
Willa Ford,0.13272546316947118,0.0994857320602569,654,3,3,percent
Jerry Springer,0.13333761976904188,0.10029564615078415,654,3,3,percent
Vivica A. Fox,0.060121658189623374,0.006754464805560737,1054,3,4,percent
Monique Coleman,0.1649669020723011,0.11098653537388485,1054,3,4,percent
Joey Lawrence,0.14436237482640774,0.10738570498650947,1054,3,4,percent
Mario Lopez,0.14340750963141824,0.10967163186961802,1054,3,4,percent
Emmitt Smith,0.163704493616517,0.1120263274140882,1054,3,4,percent
Willa Ford,0.14541917362341703,0.10951587363212328,1054,3,4,percent
Jerry Springer,0.1780178880403134,0.11195758466775955,1054,3,4,percent
Monique Coleman,0.1786868139586218,0.1166109644355249,678,3,5,percent
Joey Lawrence,0.18587080850039125,0.1217878428188578,678,3,5,percent
Mario Lopez,0.1719242269179058,0.11195233492971524,678,3,5,percent
Emmitt Smith,0.1714927859049225,0.11163171384077163,678,3,5,percent
Willa Ford,0.06802721088435298,7.632783294297951e-16,678,3,5,percent
Jerry Springer,0.22399815383380578,0.12160758227034194,678,3,5,percent
Monique Coleman,0.22730400276681345,0.13197715609784752,2005,3,7,percent
Joey Lawrence,0.22323024555400633,0.12902410486463475,2005,3,7,percent
Mario Lopez,0.23003076250979215,0.13087059468378243,2005,3,7,percent
Emmitt Smith,0.2205944991535834,0.12873380191330616,2005,3,7,percent
Jerry Springer,0.09884049001583968,0.010944784902407918,2005,3,7,percent
Monique Coleman,0.12000000000000213,2.1094237467877974e-15,1258,3,8,percent
Joey Lawrence,0.29615262321145125,0.13729552999537797,1258,3,8,percent
Mario Lopez,0.28712241653418547,0.13302934621270138,1258,3,8,percent
Emmitt Smith,0.29672496025437645,0.13733815981038122,1258,3,8,percent
Joey Lawrence,0.1818181818181858,3.969047313034935e-15,1700,3,9,percent
Mario Lopez,0.4122994652406319,0.13632588341818458,1700,3,9,percent
Emmitt Smith,0.40588235294116676,0.1363258834181812,1700,3,9,percent
John Ratzenberger,0.09557142754228676,0.08602223090427187,524,4,2,percent
Ian Ziering,0.09046653239275323,0.08489528887259228,524,4,2,percent
Clyde Drexler,0.1269502644549254,0.09488988835995602,524,4,2,percent
Laila Ali,0.08560039488822926,0.07891310470982646,524,4,2,percent
Apolo Anton Ohno,0.09141353827203205,0.0869037768213799,524,4,2,percent
Shandi Finnessey,0.11034565395429431,0.09745877059369495,524,4,2,percent
Paulina Porizkova,0.03219026638450109,0.002790555901365665,524,4,2,percent
Heather Mills,0.0858781133673186,0.07704354667910172,524,4,2,percent
Billy Ray Cyrus,0.09901226876437196,0.08982384726465444,524,4,2,percent
Joey Fatone,0.08958155836223519,0.0825590651231783,524,4,2,percent
Leeza Gibbons,0.09298998161705208,0.08333892316244872,524,4,2,percent
John Ratzenberger,0.10876910205501167,0.08809132828125825,485,4,3,percent
Ian Ziering,0.09230777826042635,0.08462880404828062,485,4,3,percent
Clyde Drexler,0.15857712125169507,0.09975627225789548,485,4,3,percent
Laila Ali,0.11320344657570243,0.0983667853533492,485,4,3,percent
Apolo Anton Ohno,0.09752066115702483,0.08845937441664001,485,4,3,percent
Shandi Finnessey,0.03716089094736148,0.0032170296254005583,485,4,3,percent
Heather Mills,0.10464175921179615,0.09592353642954955,485,4,3,percent
Billy Ray Cyrus,0.10273326470723813,0.0836605518161655,485,4,3,percent
Joey Fatone,0.09064147707194706,0.084949764309764,485,4,3,percent
Leeza Gibbons,0.0944444987617971,0.08368952042998486,485,4,3,percent
John Ratzenberger,0.13926368506253642,0.10475579767659265,1443,4,4,percent
Ian Ziering,0.11255141974738068,0.09338214643519716,1443,4,4,percent
Clyde Drexler,0.1352334131124997,0.09764454451484285,1443,4,4,percent
Laila Ali,0.11555701498189981,0.09785458919317538,1443,4,4,percent
Apolo Anton Ohno,0.1123299783700967,0.09574952793868333,1443,4,4,percent
Heather Mills,0.11158749845802785,0.09291198555670473,1443,4,4,percent
Billy Ray Cyrus,0.1135460589802018,0.09621897300079028,1443,4,4,percent
Joey Fatone,0.11306876435225485,0.09912625974022457,1443,4,4,percent
Leeza Gibbons,0.0468621669351081,0.007863869223158964,1443,4,4,percent
John Ratzenberger,0.1367052497545014,0.10516399478659541,2559,4,5,percent
Ian Ziering,0.1311003377667682,0.1042581875320861,2559,4,5,percent
Clyde Drexler,0.06015955983682231,0.01287024027627545,2559,4,5,percent
Laila Ali,0.13475906409866,0.10514211318016879,2559,4,5,percent
Apolo Anton Ohno,0.1305260675050841,0.10372566092542258,2559,4,5,percent
Heather Mills,0.1339235907313636,0.10379006614884541,2559,4,5,percent
Billy Ray Cyrus,0.14336610011610326,0.10713995929158475,2559,4,5,percent
Joey Fatone,0.12946003019069707,0.10333187310338761,2559,4,5,percent
John Ratzenberger,0.20395115127485458,0.11241609841019659,749,4,6,percent
Ian Ziering,0.15264797507788092,0.10459256204818079,749,4,6,percent
Laila Ali,0.13394535229709373,0.10485606209177924,749,4,6,percent
Apolo Anton Ohno,0.14014768390299384,0.11204433851637581,749,4,6,percent
Heather Mills,0.062020864059945696,0.007616011686701241,749,4,6,percent
Billy Ray Cyrus,0.17399998283600615,0.11291219903688565,749,4,6,percent
Joey Fatone,0.13328699055122128,0.10281728170634111,749,4,6,percent
John Ratzenberger,0.07829322552036047,0.012229220522175833,1373,4,7,percent
Ian Ziering,0.179130064261686,0.119830047380469,1373,4,7,percent
Laila Ali,0.1664759130163375,0.11525581060972856,1373,4,7,percent
Apolo Anton Ohno,0.1828757723045538,0.11957826336479327,1373,4,7,percent
Billy Ray Cyrus,0.23108442211553523,0.11881884382687721,1373,4,7,percent
Joey Fatone,0.16214060278153677,0.11483441374698564,1373,4,7,percent
Ian Ziering,0.2505977230420523,0.13316145662953677,2537,4,8,percent
Laila Ali,0.21530688870412035,0.13166454846835474,2537,4,8,percent
Apolo Anton Ohno,0.21308574700276064,0.13000034254489318,2537,4,8,percent
Billy Ray Cyrus,0.10842451426911247,0.02148294933074902,2537,4,8,percent
Joey Fatone,0.2125851269819883,0.12957471277280241,2537,4,8,percent
Ian Ziering,0.12000000000000213,2.1094237467877974e-15,1261,4,9,percent
Laila Ali,0.29671689135607104,0.1368908406155084,1261,4,9,percent
Apolo Anton Ohno,0.2863124504361659,0.13402851287581308,1261,4,9,percent
Joey Fatone,0.29697065820777635,0.13671119473091123,1261,4,9,percent
Cameron Mathison,0.08614410486730656,0.0798012911836497,2054,5,1,percent
Jane Seymour,0.08315174210703903,0.08031037680721467,2054,5,1,percent
Sabrina Bryan,0.08853399591619311,0.08470760049481134,2054,5,1,percent
Jennie Garth,0.08967345635930615,0.08581897033241974,2054,5,1,percent
Floyd Mayweather Jr. ,0.09621523432487082,0.08706292725583949,2054,5,1,percent
Josie Maran,0.033331855391349696,0.005806569806475942,2054,5,1,percent
Albert Reed,0.08703438474473103,0.08262710304953425,2054,5,1,percent
Helio Castroneves,0.08500638761846603,0.08167530502997522,2054,5,1,percent
Mel B,0.08254160713252545,0.07975061416866512,2054,5,1,percent
Wayne Newton,0.08973424742969595,0.08271905351280355,2054,5,1,percent
Marie Osmond,0.09101047504681281,0.0880766521058046,2054,5,1,percent
Mark Cuban,0.08762250906169457,0.08289627423806285,2054,5,1,percent
Cameron Mathison,0.09577344478806124,0.09063142824656452,251,5,2,percent
Jane Seymour,0.09112141226162243,0.08401133262503628,251,5,2,percent
Sabrina Bryan,0.0866875463824244,0.08569461528441813,251,5,2,percent
Jennie Garth,0.09577030364523448,0.08835084668207797,251,5,2,percent
Floyd Mayweather Jr. ,0.08507418879629561,0.08034316253305507,251,5,2,percent
Albert Reed,0.031596089391404125,0.002390805833295315,251,5,2,percent
Helio Castroneves,0.08476640439234572,0.08136934990864089,251,5,2,percent
Mel B,0.08426534451840366,0.07980166844588447,251,5,2,percent
Wayne Newton,0.1476933945716577,0.09346426010880488,251,5,2,percent
Marie Osmond,0.08152902837170636,0.07761149840658334,251,5,2,percent
Mark Cuban,0.11572284288084479,0.08761480050631312,251,5,2,percent
Cameron Mathison,0.10479299568588549,0.09042466360415798,1987,5,3,percent
Jane Seymour,0.10170511522293602,0.09033184826579464,1987,5,3,percent
Sabrina Bryan,0.10439275150284166,0.09231290897720544,1987,5,3,percent
Jennie Garth,0.10402816791736696,0.09302775506891243,1987,5,3,percent
Floyd Mayweather Jr. ,0.11435126315905032,0.0970465141486991,1987,5,3,percent
Helio Castroneves,0.10216215726023492,0.08803423940654262,1987,5,3,percent
Mel B,0.10434284030318407,0.09186053901952158,1987,5,3,percent
Wayne Newton,0.041990183176148395,0.007428281894940452,1987,5,3,percent
Marie Osmond,0.10385416056555623,0.09183724516626447,1987,5,3,percent
Mark Cuban,0.1183803652067941,0.09504219641364996,1987,5,3,percent
Cameron Mathison,0.11410224844965319,0.09442280449462892,1483,5,4,percent
Jane Seymour,0.11992491326632947,0.09878779716251763,1483,5,4,percent
Sabrina Bryan,0.11725794568773014,0.09652230640402283,1483,5,4,percent
Jennie Garth,0.11853269111462708,0.09725118871905718,1483,5,4,percent
Floyd Mayweather Jr. ,0.04437111029787513,0.004771423977176388,1483,5,4,percent
Helio Castroneves,0.11507601888594512,0.09519761241593051,1483,5,4,percent
Mel B,0.12113061037671437,0.10004622180738128,1483,5,4,percent
Marie Osmond,0.11843034826741312,0.09887303572326371,1483,5,4,percent
Mark Cuban,0.13117411365371903,0.09879667480956156,1483,5,4,percent
Cameron Mathison,0.13286718938148642,0.10339870454978169,1626,5,5,percent
Jane Seymour,0.13117275719406335,0.10317716591701788,1626,5,5,percent
Sabrina Bryan,0.13272414590111722,0.104187187015827,1626,5,5,percent
Jennie Garth,0.1294667414479663,0.10038698214324067,1626,5,5,percent
Helio Castroneves,0.14069067103286015,0.10683657991521263,1626,5,5,percent
Mel B,0.12965396408234783,0.10209663741534016,1626,5,5,percent
Marie Osmond,0.1509181451867077,0.1060621640454448,1626,5,5,percent
Mark Cuban,0.0525063857734504,0.0069184567887654305,1626,5,5,percent
Cameron Mathison,0.15971880150085982,0.11113242717153356,755,5,6,percent
Jane Seymour,0.1838128424522157,0.11454538911043746,755,5,6,percent
Sabrina Bryan,0.05873302562044195,0.005260643226678979,755,5,6,percent
Jennie Garth,0.1403328893997161,0.10379978507215128,755,5,6,percent
Helio Castroneves,0.13952407883774484,0.10853717297521477,755,5,6,percent
Mel B,0.13913974178874808,0.10412563801552817,755,5,6,percent
Marie Osmond,0.17873862040026928,0.11297083202699199,755,5,6,percent
Cameron Mathison,0.18546197821851823,0.11749261783228579,852,5,7,percent
Jane Seymour,0.06802721088435289,8.604228440844963e-16,852,5,7,percent
Jennie Garth,0.18412059659544652,0.11781144580736606,852,5,7,percent
Helio Castroneves,0.1883683050685071,0.12232031794224392,852,5,7,percent
Mel B,0.1905161125483064,0.11901201935524308,852,5,7,percent
Marie Osmond,0.1835057966848718,0.11521063557182144,852,5,7,percent
Cameron Mathison,0.0922150812807154,0.00893711808012763,1255,5,8,percent
Jennie Garth,0.23921830924477733,0.13033742357372657,1255,5,8,percent
Helio Castroneves,0.2027801203943374,0.12937370993788924,1255,5,8,percent
Mel B,0.2347689533835504,0.12671242470422558,1255,5,8,percent
Marie Osmond,0.2310175356966338,0.1246322140005042,1255,5,8,percent
Jennie Garth,0.12000000000000209,2.067790383364354e-15,1237,5,9,percent
Helio Castroneves,0.2924494745351698,0.1351291429731031,1237,5,9,percent
Mel B,0.29801131770412725,0.13716705214909597,1237,5,9,percent
Marie Osmond,0.28953920776071557,0.1354803345793737,1237,5,9,percent
Cristian de la Fuente,0.08362442934325137,0.08085398028358268,2956,6,2,percent
Steve Guttenberg,0.10084649610137766,0.08715977273823207,2956,6,2,percent
Priscilla Presley,0.08474954403855046,0.08265056471607722,2956,6,2,percent
Marlee Matlin,0.08335338749377584,0.07969154566741911,2956,6,2,percent
Shannon Elizabeth,0.08439661152697968,0.08210796525870392,2956,6,2,percent
Marissa Jaret Winokur,0.08705861452247209,0.08324088086389693,2956,6,2,percent
Jason Taylor,0.08492573697151877,0.08231078107584407,2956,6,2,percent
Kristi Yamaguchi,0.08567726853493965,0.08209613862688961,2956,6,2,percent
Monica Seles,0.061363394931460286,0.06558084709547199,2956,6,2,percent
Penn Jillette,0.0727090997809811,0.0763041626394205,2956,6,2,percent
Adam Carolla,0.08731175077791549,0.08265734149779239,2956,6,2,percent
Mario,0.08398366597677061,0.08232815309648846,2956,6,2,percent
Cristian de la Fuente,0.10048756283683788,0.09059162144524677,770,6,3,percent
Steve Guttenberg,0.037073250553808806,0.003592441434214533,770,6,3,percent
Priscilla Presley,0.09859713515044753,0.09045499171690961,770,6,3,percent
Marlee Matlin,0.10690963284107793,0.08665392566317962,770,6,3,percent
Shannon Elizabeth,0.10151758551704321,0.08937941337407121,770,6,3,percent
Marissa Jaret Winokur,0.12852761653737035,0.09569765432832872,770,6,3,percent
Jason Taylor,0.09874123979258752,0.08830452423331009,770,6,3,percent
Kristi Yamaguchi,0.10088134328752119,0.09085381548913464,770,6,3,percent
Adam Carolla,0.11662710680458897,0.09844032429109885,770,6,3,percent
Mario,0.1106375266787131,0.09290751618446322,770,6,3,percent
Cristian de la Fuente,0.11451052335864473,0.09395148361308514,2188,6,4,percent
Priscilla Presley,0.1268747292965924,0.1014459995457612,2188,6,4,percent
Marlee Matlin,0.1145361672577173,0.09365005053582882,2188,6,4,percent
Shannon Elizabeth,0.11844134842801786,0.09872035200023921,2188,6,4,percent
Marissa Jaret Winokur,0.12332901148154463,0.1028754523477897,2188,6,4,percent
Jason Taylor,0.11880921016021698,0.10025848741051399,2188,6,4,percent
Kristi Yamaguchi,0.11533651334777963,0.09511978242508384,2188,6,4,percent
Adam Carolla,0.04818943814986456,0.007924948601306402,2188,6,4,percent
Mario,0.11997305851963597,0.0965232788443949,2188,6,4,percent
Cristian de la Fuente,0.13904366500242968,0.10666471369512948,1461,6,5,percent
Priscilla Presley,0.05136138521098875,0.006169875454542119,1461,6,5,percent
Marlee Matlin,0.14709202290656487,0.10579673530230299,1461,6,5,percent
Shannon Elizabeth,0.13641824238494019,0.10258427947455925,1461,6,5,percent
Marissa Jaret Winokur,0.1389980941176683,0.10732176415202656,1461,6,5,percent
Jason Taylor,0.12607605001164757,0.09877666880670745,1461,6,5,percent
Kristi Yamaguchi,0.13316592029352434,0.10363233491686666,1461,6,5,percent
Mario,0.1278446200722359,0.10060892386170105,1461,6,5,percent
Cristian de la Fuente,0.15090096949393444,0.1101516473635715,1990,6,6,percent
Marlee Matlin,0.06475028955613799,0.009241501596006358,1990,6,6,percent
Shannon Elizabeth,0.16304386948516703,0.11294150101327059,1990,6,6,percent
Marissa Jaret Winokur,0.15149069498087298,0.10711224715805995,1990,6,6,percent
Jason Taylor,0.16421316869009858,0.11437276320004186,1990,6,6,percent
Kristi Yamaguchi,0.1500625256678247,0.11021236664012043,1990,6,6,percent
Mario,0.15553848212596497,0.11412098406285352,1990,6,6,percent
Cristian de la Fuente,0.20960694262802065,0.11739626823987519,671,6,7,percent
Shannon Elizabeth,0.068027210884353,7.494005416219807e-16,671,6,7,percent
Marissa Jaret Winokur,0.18414996400944905,0.12053414244584648,671,6,7,percent
Jason Taylor,0.1722071839167859,0.11103124759368588,671,6,7,percent
Kristi Yamaguchi,0.18249744010868127,0.12049529615937148,671,6,7,percent
Mario,0.1835112584527105,0.11913386909752399,671,6,7,percent
Cristian de la Fuente,0.2206796446901478,0.12472508161671032,1051,6,8,percent
Marissa Jaret Winokur,0.2318264843353934,0.12815816354300297,1051,6,8,percent
Jason Taylor,0.2271038357629529,0.12685688656118194,1051,6,8,percent
Kristi Yamaguchi,0.23279879433560197,0.1294938227291484,1051,6,8,percent
Mario,0.08759124087591041,1.9984014443252818e-15,1051,6,8,percent
Cristian de la Fuente,0.2993611793611837,0.13655856090644772,1221,6,9,percent
Marissa Jaret Winokur,0.12000000000000206,2.040034807748725e-15,1221,6,9,percent
Jason Taylor,0.29162981162981527,0.1366681348921052,1221,6,9,percent
Kristi Yamaguchi,0.28900900900901305,0.13447048122226787,1221,6,9,percent
Ted McGinley,0.08109361263802167,0.07894582324190344,2943,7,1,percent
Cloris Leachman,0.09430902424900284,0.08669636567416933,2943,7,1,percent
Susan Lucci,0.08241505860233223,0.079261516115534,2943,7,1,percent
Cody Linley,0.08528726023696535,0.08306963048912465,2943,7,1,percent
Maurice Greene,0.08878135364957522,0.08437044779339607,2943,7,1,percent
Warren Sapp,0.08615422251691288,0.08316879278415358,2943,7,1,percent
Jeffrey Ross,0.04672516671218818,0.04580648409643355,2943,7,1,percent
Toni Braxton,0.08383693520254394,0.0795822804489129,2943,7,1,percent
Lance Bass,0.08763093799689756,0.08345441588959204,2943,7,1,percent
Kim Kardashian,0.08740267506054197,0.08415148784858646,2943,7,1,percent
Rocco DiSpirito,0.08894266282866332,0.08432639533102011,2943,7,1,percent
Brooke Burke,0.08742109030634623,0.08385423091338598,2943,7,1,percent
Cloris Leachman,0.13327430895794534,0.09912165377899683,1032,7,2,percent
Susan Lucci,0.09860247713330536,0.08834782418860086,1032,7,2,percent
Cody Linley,0.10233141031498182,0.08926103878345851,1032,7,2,percent
Maurice Greene,0.10035049661344973,0.0875869114638985,1032,7,2,percent
Warren Sapp,0.09740400399517268,0.08614873140625182,1032,7,2,percent
Toni Braxton,0.10194071516117702,0.09193914177405119,1032,7,2,percent
Lance Bass,0.0998060702684132,0.09114877508547757,1032,7,2,percent
Kim Kardashian,0.03935032752226805,0.005593853043016923,1032,7,2,percent
Rocco DiSpirito,0.12798101977736548,0.09839895234029238,1032,7,2,percent
Brooke Burke,0.09895917025591541,0.08886216627804841,1032,7,2,percent
Cloris Leachman,0.11694206484445874,0.09712645453277018,2028,7,4,percent
Susan Lucci,0.12067580731866522,0.09946215534094295,2028,7,4,percent
Cody Linley,0.11680511276689562,0.0963713379912523,2028,7,4,percent
Maurice Greene,0.1262837873917233,0.0969973101995126,2028,7,4,percent
Warren Sapp,0.1187016915379956,0.09763981583452166,2028,7,4,percent
Toni Braxton,0.12031537435089705,0.10119147741517374,2028,7,4,percent
Lance Bass,0.11539173965935888,0.09484540469294214,2028,7,4,percent
Rocco DiSpirito,0.04725946442607536,0.007261715729756864,2028,7,4,percent
Brooke Burke,0.11762495770394323,0.09886444863225739,2028,7,4,percent
Cloris Leachman,0.1483458187794588,0.10589826375579575,1170,7,5,percent
Susan Lucci,0.14787784853487854,0.10711803534693687,1170,7,5,percent
Cody Linley,0.12500458610839715,0.10124524917808327,1170,7,5,percent
Maurice Greene,0.12565899569841762,0.10035749674953308,1170,7,5,percent
Warren Sapp,0.1294334565031021,0.10387538996235891,1170,7,5,percent
Toni Braxton,0.050953723358453815,0.006427072424464998,1170,7,5,percent
Lance Bass,0.14689623414984754,0.1033012046164768,1170,7,5,percent
Brooke Burke,0.1258293368674447,0.10106294667668946,1170,7,5,percent
Cloris Leachman,0.07207154082255528,0.015245745215876575,2803,7,6,percent
Susan Lucci,0.15534221991589112,0.11345460528703194,2803,7,6,percent
Cody Linley,0.14952921685967432,0.11009582649699189,2803,7,6,percent
Maurice Greene,0.15915651176572965,0.11317055584982054,2803,7,6,percent
Warren Sapp,0.15488128127183648,0.1138362744544271,2803,7,6,percent
Lance Bass,0.15554435150322682,0.11175786074850112,2803,7,6,percent
Brooke Burke,0.1534748778610878,0.11242255733471472,2803,7,6,percent
Susan Lucci,0.07075168375807984,0.00544471355594289,804,7,7,percent
Cody Linley,0.1878109452736326,0.1201699714947358,804,7,7,percent
Maurice Greene,0.1882932277388573,0.11856610552342535,804,7,7,percent
Warren Sapp,0.20915829018174528,0.1188485537184843,804,7,7,percent
Lance Bass,0.18764172335600945,0.11663679657224411,804,7,7,percent
Brooke Burke,0.15634412969167769,0.11432670200768523,804,7,7,percent
Cody Linley,0.2324723429963719,0.12310807082278574,1474,7,8,percent
Maurice Greene,0.09458843803543691,0.010210902378084915,1474,7,8,percent
Warren Sapp,0.21220869771910641,0.12985897894738987,1474,7,8,percent
Lance Bass,0.2463627450009479,0.13085303919323046,1474,7,8,percent
Brooke Burke,0.21436777624815995,0.12966144237267582,1474,7,8,percent
Cody Linley,0.13010077059869735,0.017378298456994158,1687,7,9,percent
Warren Sapp,0.3120806164789639,0.13648782118796085,1687,7,9,percent
Lance Bass,0.2510491997628983,0.14016089263695977,1687,7,9,percent
Brooke Burke,0.3067694131594623,0.1340533414028451,1687,7,9,percent
Gilles Marini,0.07800983302746609,0.07958771251893194,465,8,2,percent
Denise Richards,0.07028154922487322,0.07386824381917283,465,8,2,percent
David Alan Grier,0.09029808951243459,0.0855154320592222,465,8,2,percent
Lawrence Taylor,0.07624546750548267,0.07785210661159894,465,8,2,percent
Ty Murray,0.07426119409293977,0.07592581947684653,465,8,2,percent
Shawn Johnson,0.0707804469784663,0.07121274423078539,465,8,2,percent
Steve Wozniak,0.09258179427975813,0.08259030756422399,465,8,2,percent
Belinda Carlisle,0.02660662539091693,0.0028568867127331853,465,8,2,percent
Chuck Wicks,0.07604280342908498,0.07789834105415676,465,8,2,percent
