celebrity_name,season,week,average_score
Emmitt Smith,3,8,9.0
Joey Lawrence,3,8,9.0
Monique Coleman,3,8,8.833333333333334
Harry Hamlin,3,8,0.0
Jerry Springer,3,8,0.0
Sara Evans,3,8,0.0
Shanna Moakler,3,8,0.0
Tucker Carlson,3,8,0.0
Vivica A. Fox,3,8,0.0
Willa Ford,3,8,0.0
Emmitt Smith,3,9,9.833333333333334
Joey Lawrence,3,9,9.833333333333334
Mario Lopez,3,9,9.833333333333334
Harry Hamlin,3,9,0.0
Jerry Springer,3,9,0.0
Monique Coleman,3,9,0.0
Sara Evans,3,9,0.0
Shanna Moakler,3,9,0.0
Tucker Carlson,3,9,0.0
Vivica A. Fox,3,9,0.0
Willa Ford,3,9,0.0
Joey Fatone,4,1,8.0
Laila Ali,4,1,7.666666666666667
Apolo Anton Ohno,4,1,7.0
Ian Ziering,4,1,7.0
Paulina Porizkova,4,1,6.333333333333333
Shandi Finnessey,4,1,6.333333333333333
Heather Mills,4,1,6.0
John Ratzenberger,4,1,5.666666666666667
Clyde Drexler,4,1,5.333333333333333
Leeza Gibbons,4,1,5.0
Billy Ray Cyrus,4,1,4.333333333333333
Apolo Anton Ohno,4,10,9.777733333333334
Joey Fatone,4,10,9.5555
Laila Ali,4,10,9.4444
Billy Ray Cyrus,4,10,0.0
Clyde Drexler,4,10,0.0
Heather Mills,4,10,0.0
Ian Ziering,4,10,0.0
John Ratzenberger,4,10,0.0
Leeza Gibbons,4,10,0.0
Paulina Porizkova,4,10,0.0
Shandi Finnessey,4,10,0.0
Laila Ali,4,2,9.0
Apolo Anton Ohno,4,2,8.666666666666666
Heather Mills,4,2,8.0
Joey Fatone,4,2,8.0
Ian Ziering,4,2,7.333333333333333
Billy Ray Cyrus,4,2,7.0
John Ratzenberger,4,2,7.0
Leeza Gibbons,4,2,7.0
Paulina Porizkova,4,2,7.0
Shandi Finnessey,4,2,6.666666666666667
Clyde Drexler,4,2,6.0
Heather Mills,4,3,8.0
Ian Ziering,4,3,8.0
Joey Fatone,4,3,8.0
Leeza Gibbons,4,3,8.0
Apolo Anton Ohno,4,3,7.666666666666667
Billy Ray Cyrus,4,3,7.0
Laila Ali,4,3,7.0
Shandi Finnessey,4,3,7.0
John Ratzenberger,4,3,6.666666666666667
Clyde Drexler,4,3,5.333333333333333
Paulina Porizkova,4,3,0.0
Joey Fatone,4,4,9.333333333333334
Apolo Anton Ohno,4,4,8.666666666666666
Ian Ziering,4,4,8.0
Heather Mills,4,4,7.666666666666667
Billy Ray Cyrus,4,4,7.0
Laila Ali,4,4,7.0
John Ratzenberger,4,4,5.333333333333333
Leeza Gibbons,4,4,5.333333333333333
Clyde Drexler,4,4,5.0
Paulina Porizkova,4,4,0.0
Shandi Finnessey,4,4,0.0
Apolo Anton Ohno,4,5,10.0
Laila Ali,4,5,9.333333333333334
Joey Fatone,4,5,8.333333333333334
Ian Ziering,4,5,8.0
Heather Mills,4,5,7.0
John Ratzenberger,4,5,6.0
Billy Ray Cyrus,4,5,5.666666666666667
Clyde Drexler,4,5,4.333333333333333
Leeza Gibbons,4,5,0.0
Paulina Porizkova,4,5,0.0
Shandi Finnessey,4,5,0.0
Apolo Anton Ohno,4,6,9.333333333333334
Laila Ali,4,6,9.333333333333334
Joey Fatone,4,6,9.0
Ian Ziering,4,6,8.0
Heather Mills,4,6,7.666666666666667
Billy Ray Cyrus,4,6,7.0
John Ratzenberger,4,6,6.333333333333333
Clyde Drexler,4,6,0.0
Leeza Gibbons,4,6,0.0
Paulina Porizkova,4,6,0.0
Shandi Finnessey,4,6,0.0
Joey Fatone,4,7,9.833333333333334
Laila Ali,4,7,9.833333333333334
Apolo Anton Ohno,4,7,9.0
Ian Ziering,4,7,9.0
John Ratzenberger,4,7,7.5
Billy Ray Cyrus,4,7,6.333333333333333
Clyde Drexler,4,7,0.0
Heather Mills,4,7,0.0
Leeza Gibbons,4,7,0.0
Paulina Porizkova,4,7,0.0
Shandi Finnessey,4,7,0.0
Apolo Anton Ohno,4,8,9.666666666666666
Joey Fatone,4,8,9.166666666666666
Laila Ali,4,8,8.833333333333334
Ian Ziering,4,8,7.833333333333333
Billy Ray Cyrus,4,8,6.333333333333333
Clyde Drexler,4,8,0.0
Heather Mills,4,8,0.0
John Ratzenberger,4,8,0.0
Leeza Gibbons,4,8,0.0
Paulina Porizkova,4,8,0.0
Shandi Finnessey,4,8,0.0
Joey Fatone,4,9,10.0
Laila Ali,4,9,10.0
Apolo Anton Ohno,4,9,9.833333333333334
Ian Ziering,4,9,9.666666666666666
Billy Ray Cyrus,4,9,0.0
Clyde Drexler,4,9,0.0
Heather Mills,4,9,0.0
John Ratzenberger,4,9,0.0
Leeza Gibbons,4,9,0.0
Paulina Porizkova,4,9,0.0
Shandi Finnessey,4,9,0.0
Sabrina Bryan,5,1,8.666666666666666
Helio Castroneves,5,1,8.333333333333334
Jane Seymour,5,1,8.0
Mel B,5,1,8.0
Albert Reed,5,1,7.0
Cameron Mathison,5,1,7.0
Jennie Garth,5,1,7.0
Marie Osmond,5,1,7.0
Mark Cuban,5,1,7.0
Wayne Newton,5,1,6.333333333333333
Floyd Mayweather Jr. ,5,1,6.0
Josie Maran,5,1,5.333333333333333
Mel B,5,10,9.4444
Helio Castroneves,5,10,9.3333
Marie Osmond,5,10,7.666666666666667
Albert Reed,5,10,0.0
Cameron Mathison,5,10,0.0
Floyd Mayweather Jr. ,5,10,0.0
Jane Seymour,5,10,0.0
Jennie Garth,5,10,0.0
Josie Maran,5,10,0.0
Mark Cuban,5,10,0.0
Sabrina Bryan,5,10,0.0
Wayne Newton,5,10,0.0
Helio Castroneves,5,2,9.0
Sabrina Bryan,5,2,8.666666666666666
Marie Osmond,5,2,8.0
Mel B,5,2,7.666666666666667
Albert Reed,5,2,7.0
Cameron Mathison,5,2,7.0
Floyd Mayweather Jr. ,5,2,7.0
Jane Seymour,5,2,7.0
Jennie Garth,5,2,7.0
Mark Cuban,5,2,6.0
Wayne Newton,5,2,5.0
Josie Maran,5,2,0.0
Jane Seymour,5,3,9.0
Mel B,5,3,9.0
Sabrina Bryan,5,3,9.0
Jennie Garth,5,3,8.666666666666666
Marie Osmond,5,3,8.666666666666666
Helio Castroneves,5,3,8.0
Cameron Mathison,5,3,7.666666666666667
Floyd Mayweather Jr. ,5,3,7.0
Mark Cuban,5,3,6.666666666666667
Wayne Newton,5,3,6.0
Albert Reed,5,3,0.0
Josie Maran,5,3,0.0
Sabrina Bryan,5,4,10.0
Cameron Mathison,5,4,9.0
Helio Castroneves,5,4,9.0
Jennie Garth,5,4,9.0
Jane Seymour,5,4,8.666666666666666
Marie Osmond,5,4,8.666666666666666
Mel B,5,4,8.666666666666666
Floyd Mayweather Jr. ,5,4,7.666666666666667
Mark Cuban,5,4,7.333333333333333
Albert Reed,5,4,0.0
Josie Maran,5,4,0.0
Wayne Newton,5,4,0.0
Mel B,5,5,9.666666666666666
Sabrina Bryan,5,5,9.333333333333334
Cameron Mathison,5,5,8.666666666666666
Jane Seymour,5,5,8.666666666666666
Jennie Garth,5,5,8.333333333333334
Helio Castroneves,5,5,7.666666666666667
Marie Osmond,5,5,7.0
Mark Cuban,5,5,7.0
Albert Reed,5,5,0.0
Floyd Mayweather Jr. ,5,5,0.0
Josie Maran,5,5,0.0
Wayne Newton,5,5,0.0
Mel B,5,6,10.0
Helio Castroneves,5,6,9.333333333333334
Jennie Garth,5,6,9.0
Cameron Mathison,5,6,8.333333333333334
Sabrina Bryan,5,6,8.333333333333334
Marie Osmond,5,6,7.666666666666667
Jane Seymour,5,6,7.333333333333333
Albert Reed,5,6,0.0
Floyd Mayweather Jr. ,5,6,0.0
Josie Maran,5,6,0.0
Mark Cuban,5,6,0.0
Wayne Newton,5,6,0.0
Mel B,5,7,9.0
Jennie Garth,5,7,8.833333333333334
Helio Castroneves,5,7,8.666666666666666
Marie Osmond,5,7,8.666666666666666
Cameron Mathison,5,7,8.5
Jane Seymour,5,7,8.333333333333334
Albert Reed,5,7,0.0
Floyd Mayweather Jr. ,5,7,0.0
Josie Maran,5,7,0.0
Mark Cuban,5,7,0.0
Sabrina Bryan,5,7,0.0
Wayne Newton,5,7,0.0
Helio Castroneves,5,8,9.5
Mel B,5,8,9.333333333333334
Cameron Mathison,5,8,8.5
Jennie Garth,5,8,8.333333333333334
Marie Osmond,5,8,8.166666666666666
Albert Reed,5,8,0.0
Floyd Mayweather Jr. ,5,8,0.0
Jane Seymour,5,8,0.0
Josie Maran,5,8,0.0
Mark Cuban,5,8,0.0
Sabrina Bryan,5,8,0.0
Wayne Newton,5,8,0.0
Helio Castroneves,5,9,10.0
Mel B,5,9,10.0
Jennie Garth,5,9,9.666666666666666
Marie Osmond,5,9,9.333333333333334
Albert Reed,5,9,0.0
Cameron Mathison,5,9,0.0
Floyd Mayweather Jr. ,5,9,0.0
Jane Seymour,5,9,0.0
Josie Maran,5,9,0.0
Mark Cuban,5,9,0.0
Sabrina Bryan,5,9,0.0
Wayne Newton,5,9,0.0
Kristi Yamaguchi,6,1,9.0
Mario,6,1,8.0
Priscilla Presley,6,1,8.0
Jason Taylor,6,1,7.333333333333333
Marlee Matlin,6,1,7.333333333333333
Cristian de la Fuente,6,1,7.0
Shannon Elizabeth,6,1,7.0
Marissa Jaret Winokur,6,1,6.0
Steve Guttenberg,6,1,6.0
Penn Jillette,6,1,5.333333333333333
Adam Carolla,6,1,5.0
Monica Seles,6,1,5.0
Kristi Yamaguchi,6,10,10.0
Jason Taylor,6,10,9.5
Cristian de la Fuente,6,10,8.666666666666666
Adam Carolla,6,10,0.0
Mario,6,10,0.0
Marissa Jaret Winokur,6,10,0.0
Marlee Matlin,6,10,0.0
Monica Seles,6,10,0.0
Penn Jillette,6,10,0.0
Priscilla Presley,6,10,0.0
Shannon Elizabeth,6,10,0.0
Steve Guttenberg,6,10,0.0
Jason Taylor,6,2,9.0
Kristi Yamaguchi,6,2,9.0
Mario,6,2,8.666666666666666
Marlee Matlin,6,2,8.0
Shannon Elizabeth,6,2,8.0
Marissa Jaret Winokur,6,2,7.0
Priscilla Presley,6,2,7.0
Cristian de la Fuente,6,2,6.666666666666667
Adam Carolla,6,2,6.333333333333333
Penn Jillette,6,2,5.666666666666667
Steve Guttenberg,6,2,5.333333333333333
Monica Seles,6,2,5.0
Kristi Yamaguchi,6,3,9.0
Priscilla Presley,6,3,8.666666666666666
Cristian de la Fuente,6,3,8.333333333333334
Shannon Elizabeth,6,3,8.0
Jason Taylor,6,3,7.666666666666667
Adam Carolla,6,3,7.0
Mario,6,3,7.0
Marlee Matlin,6,3,7.0
Steve Guttenberg,6,3,7.0
Marissa Jaret Winokur,6,3,6.333333333333333
Monica Seles,6,3,0.0
Penn Jillette,6,3,0.0
Jason Taylor,6,4,9.666666666666666
Kristi Yamaguchi,6,4,9.666666666666666
Shannon Elizabeth,6,4,9.333333333333334
Cristian de la Fuente,6,4,8.666666666666666
Mario,6,4,8.0
Marissa Jaret Winokur,6,4,8.0
Marlee Matlin,6,4,8.0
Priscilla Presley,6,4,7.333333333333333
Adam Carolla,6,4,6.333333333333333
Monica Seles,6,4,0.0
Penn Jillette,6,4,0.0
Steve Guttenberg,6,4,0.0
Kristi Yamaguchi,6,5,9.666666666666666
Jason Taylor,6,5,9.0
Mario,6,5,9.0
Marissa Jaret Winokur,6,5,8.0
Cristian de la Fuente,6,5,7.666666666666667
Shannon Elizabeth,6,5,7.666666666666667
Marlee Matlin,6,5,7.333333333333333
Priscilla Presley,6,5,7.0
Adam Carolla,6,5,0.0
Monica Seles,6,5,0.0
Penn Jillette,6,5,0.0
Steve Guttenberg,6,5,0.0
Kristi Yamaguchi,6,6,10.0
Mario,6,6,9.333333333333334
Cristian de la Fuente,6,6,9.0
Marissa Jaret Winokur,6,6,8.666666666666666
Jason Taylor,6,6,8.0
Shannon Elizabeth,6,6,8.0
Marlee Matlin,6,6,7.0
Adam Carolla,6,6,0.0
Monica Seles,6,6,0.0
Penn Jillette,6,6,0.0
Priscilla Presley,6,6,0.0
Steve Guttenberg,6,6,0.0
Jason Taylor,6,7,9.166666666666666
Kristi Yamaguchi,6,7,9.0
Marissa Jaret Winokur,6,7,8.666666666666666
Mario,6,7,8.5
Shannon Elizabeth,6,7,8.5
Cristian de la Fuente,6,7,7.666666666666667
Adam Carolla,6,7,0.0
Marlee Matlin,6,7,0.0
Monica Seles,6,7,0.0
Penn Jillette,6,7,0.0
Priscilla Presley,6,7,0.0
Steve Guttenberg,6,7,0.0
Cristian de la Fuente,6,8,9.5
Kristi Yamaguchi,6,8,9.166666666666666
Mario,6,8,8.833333333333334
Jason Taylor,6,8,8.666666666666666
Marissa Jaret Winokur,6,8,8.333333333333334
Adam Carolla,6,8,0.0
Marlee Matlin,6,8,0.0
Monica Seles,6,8,0.0
Penn Jillette,6,8,0.0
Priscilla Presley,6,8,0.0
Shannon Elizabeth,6,8,0.0
Steve Guttenberg,6,8,0.0
Kristi Yamaguchi,6,9,9.5
Cristian de la Fuente,6,9,9.333333333333334
Jason Taylor,6,9,9.166666666666666
Marissa Jaret Winokur,6,9,8.666666666666666
Adam Carolla,6,9,0.0
Mario,6,9,0.0
Marlee Matlin,6,9,0.0
Monica Seles,6,9,0.0
Penn Jillette,6,9,0.0
Priscilla Presley,6,9,0.0
Shannon Elizabeth,6,9,0.0
Steve Guttenberg,6,9,0.0
Brooke Burke,7,1,8.166666666666666
Toni Braxton,7,1,7.5
Lance Bass,7,1,7.166666666666667
Warren Sapp,7,1,7.166666666666667
Misty May-Treanor,7,1,7.0
Cody Linley,7,1,6.833333333333333
Maurice Greene,7,1,6.5
Kim Kardashian,7,1,6.166666666666667
Susan Lucci,7,1,6.166666666666667
Ted McGinley,7,1,6.166666666666667
Rocco DiSpirito,7,1,5.833333333333333
Cloris Leachman,7,1,5.333333333333333
Jeffrey Ross,7,1,4.0
Brooke Burke,7,10,10.0
Lance Bass,7,10,9.166666666666666
Warren Sapp,7,10,9.166666666666666
Cloris Leachman,7,10,0.0
Cody Linley,7,10,0.0
Jeffrey Ross,7,10,0.0
Kim Kardashian,7,10,0.0
Maurice Greene,7,10,0.0
Misty May-Treanor,7,10,0.0
Rocco DiSpirito,7,10,0.0
Susan Lucci,7,10,0.0
Ted McGinley,7,10,0.0
Toni Braxton,7,10,0.0
Brooke Burke,7,2,8.0
Warren Sapp,7,2,8.0
Toni Braxton,7,2,7.666666666666667
Cody Linley,7,2,7.0
Misty May-Treanor,7,2,7.0
Susan Lucci,7,2,7.0
Lance Bass,7,2,6.666666666666667
Maurice Greene,7,2,6.333333333333333
Kim Kardashian,7,2,5.666666666666667
Rocco DiSpirito,7,2,5.333333333333333
Cloris Leachman,7,2,5.0
Jeffrey Ross,7,2,0.0
Ted McGinley,7,2,0.0
Brooke Burke,7,3,9.333333333333334
Warren Sapp,7,3,8.333333333333334
Maurice Greene,7,3,8.0
Lance Bass,7,3,7.333333333333333
Toni Braxton,7,3,7.333333333333333
Cody Linley,7,3,7.0
Susan Lucci,7,3,7.0
Rocco DiSpirito,7,3,6.666666666666667
Cloris Leachman,7,3,5.333333333333333
Jeffrey Ross,7,3,0.0
Kim Kardashian,7,3,0.0
Misty May-Treanor,7,3,0.0
Ted McGinley,7,3,0.0
Brooke Burke,7,4,8.666666666666666
Lance Bass,7,4,8.666666666666666
Susan Lucci,7,4,8.0
Cody Linley,7,4,7.666666666666667
Cloris Leachman,7,4,7.333333333333333
Toni Braxton,7,4,7.333333333333333
Warren Sapp,7,4,7.333333333333333
Maurice Greene,7,4,6.666666666666667
Rocco DiSpirito,7,4,6.0
Jeffrey Ross,7,4,0.0
Kim Kardashian,7,4,0.0
Misty May-Treanor,7,4,0.0
Ted McGinley,7,4,0.0
Brooke Burke,7,5,9.666666666666666
Cody Linley,7,5,9.333333333333334
Maurice Greene,7,5,9.0
Warren Sapp,7,5,8.333333333333334
Susan Lucci,7,5,7.333333333333333
Toni Braxton,7,5,7.333333333333333
Cloris Leachman,7,5,7.0
Lance Bass,7,5,7.0
Jeffrey Ross,7,5,0.0
Kim Kardashian,7,5,0.0
Misty May-Treanor,7,5,0.0
Rocco DiSpirito,7,5,0.0
Ted McGinley,7,5,0.0
Lance Bass,7,6,9.0
Brooke Burke,7,6,8.666666666666666
Warren Sapp,7,6,8.333333333333334
Cody Linley,7,6,7.666666666666667
Susan Lucci,7,6,7.666666666666667
Maurice Greene,7,6,7.0
Cloris Leachman,7,6,5.0
Jeffrey Ross,7,6,0.0
Kim Kardashian,7,6,0.0
Misty May-Treanor,7,6,0.0
Rocco DiSpirito,7,6,0.0
Ted McGinley,7,6,0.0
Toni Braxton,7,6,0.0
Brooke Burke,7,7,10.0
Lance Bass,7,7,8.333333333333334
Maurice Greene,7,7,8.333333333333334
Susan Lucci,7,7,8.0
Cody Linley,7,7,7.333333333333333
Warren Sapp,7,7,7.0
Cloris Leachman,7,7,0.0
Jeffrey Ross,7,7,0.0
Kim Kardashian,7,7,0.0
Misty May-Treanor,7,7,0.0
Rocco DiSpirito,7,7,0.0
Ted McGinley,7,7,0.0
Toni Braxton,7,7,0.0
Brooke Burke,7,8,9.166666666666666
Warren Sapp,7,8,9.0
Lance Bass,7,8,8.333333333333334
Cody Linley,7,8,8.0
Maurice Greene,7,8,8.0
Cloris Leachman,7,8,0.0
Jeffrey Ross,7,8,0.0
Kim Kardashian,7,8,0.0
Misty May-Treanor,7,8,0.0
Rocco DiSpirito,7,8,0.0
Susan Lucci,7,8,0.0
Ted McGinley,7,8,0.0
Toni Braxton,7,8,0.0
Lance Bass,7,9,9.5
Brooke Burke,7,9,8.166666666666666
Warren Sapp,7,9,8.166666666666666
Cody Linley,7,9,7.666666666666667
Cloris Leachman,7,9,0.0
Jeffrey Ross,7,9,0.0
Kim Kardashian,7,9,0.0
Maurice Greene,7,9,0.0
Misty May-Treanor,7,9,0.0
Rocco DiSpirito,7,9,0.0
Susan Lucci,7,9,0.0
Ted McGinley,7,9,0.0
Toni Braxton,7,9,0.0
Gilles Marini,8,1,8.0
Melissa Rycroft,8,1,7.666666666666667
Shawn Johnson,8,1,7.666666666666667
Lil' Kim,8,1,7.0
Chuck Wicks,8,1,6.666666666666667
David Alan Grier,8,1,6.333333333333333
Denise Richards,8,1,6.0
Holly Madison,8,1,6.0
Belinda Carlisle,8,1,5.666666666666667
Steve-O,8,1,5.666666666666667
Lawrence Taylor,8,1,5.333333333333333
Ty Murray,8,1,4.666666666666667
Steve Wozniak,8,1,4.333333333333333
Gilles Marini,8,10,10.0
Shawn Johnson,8,10,9.333333333333334
Melissa Rycroft,8,10,9.166666666666666
Ty Murray,8,10,8.0
Belinda Carlisle,8,10,0.0
Chuck Wicks,8,10,0.0
David Alan Grier,8,10,0.0
Denise Richards,8,10,0.0
Holly Madison,8,10,0.0
Lawrence Taylor,8,10,0.0
Lil' Kim,8,10,0.0
Steve Wozniak,8,10,0.0
Steve-O,8,10,0.0
Shawn Johnson,8,11,10.0
Gilles Marini,8,11,9.666666666666666
Melissa Rycroft,8,11,9.5
Belinda Carlisle,8,11,0.0
Chuck Wicks,8,11,0.0
David Alan Grier,8,11,0.0
Denise Richards,8,11,0.0
Holly Madison,8,11,0.0
Lawrence Taylor,8,11,0.0
Lil' Kim,8,11,0.0
Steve Wozniak,8,11,0.0
Steve-O,8,11,0.0
Ty Murray,8,11,0.0
Gilles Marini,8,2,9.0
Melissa Rycroft,8,2,8.666666666666666
Shawn Johnson,8,2,8.0
Lil' Kim,8,2,7.666666666666667
Denise Richards,8,2,7.0
Chuck Wicks,8,2,6.666666666666667
Lawrence Taylor,8,2,6.666666666666667
Ty Murray,8,2,6.666666666666667
Belinda Carlisle,8,2,6.0
Holly Madison,8,2,6.0
David Alan Grier,8,2,5.666666666666667
Steve Wozniak,8,2,5.666666666666667
Steve-O,8,2,4.666666666666667
Gilles Marini,8,3,9.0
Melissa Rycroft,8,3,9.0
Shawn Johnson,8,3,9.0
Lil' Kim,8,3,8.333333333333334
David Alan Grier,8,3,8.0
Chuck Wicks,8,3,7.666666666666667
Ty Murray,8,3,7.666666666666667
Lawrence Taylor,8,3,6.666666666666667
Holly Madison,8,3,5.666666666666667
Denise Richards,8,3,5.333333333333333
Steve-O,8,3,5.0
Steve Wozniak,8,3,3.3333333333333335
Belinda Carlisle,8,3,0.0
Gilles Marini,8,4,10.0
Melissa Rycroft,8,4,9.666666666666666
Lil' Kim,8,4,9.0
